Date,Close,High,Low,Open,Volume,feature_sum,feature_mean
2020-08-10,11878.111328125,12045.140625,11662.2568359375,11662.2568359375,26114112569,26114159816.765625,8704719938.921875
2020-08-11,11410.525390625,11932.7109375,11195.708984375,11881.6474609375,27039782640,27039829060.592773,9013276353.530924
2020-08-12,11584.9345703125,11748.396484375,11249.60546875,11404.5966796875,25064548486,25064594473.533203,8354864824.511067
2020-08-13,11784.1376953125,11796.396484375,11216.8720703125,11588.4052734375,27522199497,27522245882.811523,9174081960.937174
2020-08-14,11768.87109375,12150.994140625,11685.455078125,11772.6591796875,24237958589,24238005966.979492,8079335322.326497
2020-08-15,11865.6982421875,11963.203125,11768.697265625,11768.697265625,23354924400,23354971766.2959,7784990588.7653
2020-08-16,11892.8037109375,11934.9013671875,11737.1884765625,11866.685546875,20583375490,20583422921.5791,6861140973.8597
2020-08-17,12254.40234375,12359.056640625,11806.6962890625,11895.658203125,28227687027,28227735342.813477,9409245114.271158
2020-08-18,11991.2333984375,12335.70703125,11954.525390625,12251.8955078125,26043227672,26043276205.36133,8681092068.453775
2020-08-19,11758.283203125,12028.923828125,11687.3330078125,11990.884765625,24502851117,24502898582.424805,8167632860.808269
2020-08-20,11878.3720703125,11900.4111328125,11710.0634765625,11761.5,20175242945,20175290195.34668,6725096731.782227
2020-08-21,11592.4892578125,11899.259765625,11564.9794921875,11878.0263671875,23762425999,23762472933.754883,7920824311.251628
2020-08-22,11681.8251953125,11689.4072265625,11448.8056640625,11585.4775390625,20224191306,20224237711.515625,6741412570.505208
2020-08-23,11664.84765625,11713.4296875,11559.9208984375,11679.6962890625,18482062658,18482109275.89453,6160703091.964844
2020-08-24,11774.595703125,11807.6318359375,11623.25,11663.689453125,20681511755,20681558624.166992,6893852874.722331
2020-08-25,11366.134765625,11778.2998046875,11189.8505859375,11773.5888671875,26301509932,26301556039.874023,8767185346.624674
2020-08-26,11488.36328125,11530.052734375,11296.9931640625,11366.89453125,22466660958,22466706640.30371,7488902213.43457
2020-08-27,11323.3974609375,11570.7861328125,11185.94140625,11485.6083984375,23240415076,23240460641.7334,7746820213.911133
2020-08-28,11542.5,11545.615234375,11316.4228515625,11325.2958984375,19807127588,19807173317.833984,6602391105.944661
2020-08-29,11506.865234375,11585.640625,11466.29296875,11541.0546875,17485597759,17485643858.853516,5828547952.951172
2020-08-30,11711.505859375,11715.2646484375,11492.3818359375,11508.7138671875,19760127945,19760174372.86621,6586724790.955403
2020-08-31,11680.8203125,11768.876953125,11598.318359375,11713.306640625,22285928250,22285975011.322266,7428658337.107422
2020-09-01,11970.478515625,12067.0810546875,11601.12890625,11679.31640625,27311555343,27311602661.004883,9103867553.668295
2020-09-02,11414.0341796875,11964.8232421875,11290.7939453125,11964.8232421875,28037405299,28037451933.47461,9345817311.158203
2020-09-03,10245.296875,11443.0224609375,10182.46484375,11407.19140625,31927261555,31927304832.975586,10642434944.325195
2020-09-04,10511.8134765625,10663.919921875,10207.9404296875,10230.365234375,29965130374,29965171988.039062,9988390662.679688
2020-09-05,10169.5673828125,10581.5712890625,9946.67578125,10512.5302734375,44916565292,44916606502.34473,14972202167.448242
2020-09-06,10280.3515625,10353.927734375,10056.8857421875,10167.216796875,37071460174,37071501032.381836,12357167010.793945
2020-09-07,10369.5634765625,10399.1533203125,9916.4931640625,10280.998046875,33703098409,33703139375.208008,11234379791.736002
2020-09-08,10131.5166015625,10414.775390625,9945.1103515625,10369.306640625,33430927462,33430968322.708984,11143656107.569662
2020-09-09,10242.34765625,10350.54296875,10017.2509765625,10134.1513671875,24128292755,24128333499.29297,8042777833.097656
2020-09-10,10363.138671875,10503.912109375,10238.1357421875,10242.330078125,54406443211,54406484558.5166,18135494852.838867
2020-09-11,10400.9150390625,10434.9228515625,10140.8369140625,10369.0283203125,45201121775,45201163120.703125,15067054373.567709
2020-09-12,10442.1708984375,10578.837890625,10292.38671875,10409.861328125,36750077324,36750119047.256836,12250039682.418945
2020-09-13,10323.755859375,10577.21484375,10224.330078125,10452.3994140625,36506852789,36506894366.700195,12168964788.900064
2020-09-14,10680.837890625,10800.0107421875,10266.0087890625,10328.734375,35453581940,35453624015.5918,11817874671.863932
2020-09-15,10796.951171875,10938.6318359375,10656.4599609375,10677.7548828125,32509451925,32509494994.79785,10836498331.599283
2020-09-16,10974.9052734375,11100.1240234375,10704.884765625,10797.76171875,30769986455,30770030032.67578,10256676677.558594
2020-09-17,10948.990234375,11037.4208984375,10774.6279296875,10973.251953125,38151810523,38151854257.291016,12717284752.430338
2020-09-18,10944.5859375,11034.908203125,10829.6572265625,10951.8203125,26341903912,26341947672.97168,8780649224.323893
2020-09-19,11094.3466796875,11134.0927734375,10909.6181640625,10933.7529296875,22764204008,22764248079.810547,7588082693.270183
2020-09-20,10938.271484375,11095.8701171875,10814.4775390625,11095.8701171875,24699523788,24699567732.489258,8233189244.163086
2020-09-21,10462.259765625,10988.3046875,10380.2607421875,10934.92578125,28884999244,28885042009.750977,9628347336.583658
2020-09-22,10538.4599609375,10568.0771484375,10382.7265625,10459.6240234375,23621787804,23621829752.887695,7873943250.962565
2020-09-23,10246.1865234375,10537.828125,10197.865234375,10535.4921875,23788661867,23788703384.37207,7929567794.79069
2020-09-24,10760.06640625,10771.056640625,10231.490234375,10248.7861328125,47144380902,47144422913.399414,15714807637.799805
2020-09-25,10692.716796875,10777.6962890625,10578.9140625,10761.109375,39348590957,39348633767.43652,13116211255.812174
2020-09-26,10750.7236328125,10772.9990234375,10667.28125,10695.5751953125,46852525493,46852568379.5791,15617522793.193033
2020-09-27,10775.26953125,10803.9765625,10622.921875,10746.892578125,53745972818,53746015767.06055,17915338589.020184
2020-09-28,10709.65234375,10945.34765625,10703.8935546875,10776.61328125,47762394731,47762437866.506836,15920812622.168945
2020-09-29,10844.640625,10860.0009765625,10649.4951171875,10709.650390625,46582396602,46582439665.78711,15527479888.595703
2020-09-30,10784.4912109375,10847.2568359375,10669.3212890625,10843.87109375,44171073700,44171116844.94043,14723705614.980143
2020-10-01,10619.4521484375,10933.6240234375,10472.3564453125,10795.2548828125,40023134100,40023176920.6875,13341058973.5625
2020-10-02,10575.974609375,10657.837890625,10416.689453125,10619.8212890625,48661453918,48661496188.32324,16220498729.44108
2020-10-03,10549.3291015625,10598.9404296875,10511.1298828125,10575.1005859375,44660271563,44660313797.5,14886771265.833334
2020-10-04,10669.5830078125,10686.0,10534.3916015625,10550.4404296875,71251776995,71251819435.41504,23750606478.47168
2020-10-05,10793.33984375,10793.5078125,10634.6005859375,10676.529296875,47537578009,47537620906.97754,15845873635.65918
2020-10-06,10604.40625,10797.578125,10528.890625,10796.306640625,42623695307,42623738034.18164,14207912678.060547
2020-10-07,10668.96875,10680.5078125,10562.5068359375,10603.35546875,37799458436,37799500951.33887,12599833650.44629
2020-10-08,10915.685546875,10945.7373046875,10562.6064453125,10669.37109375,63314794397,63314837490.40039,21104945830.133465
2020-10-09,11064.4580078125,11102.671875,10846.8505859375,10927.9130859375,22799117613,22799161554.893555,7599720518.297852
2020-10-10,11296.361328125,11442.2109375,11056.9404296875,11059.142578125,22877978588,22878023442.655273,7626007814.218425
2020-10-11,11384.181640625,11428.8134765625,11288.6279296875,11296.08203125,19968627060,19968672457.70508,6656224152.568359
2020-10-12,11555.36328125,11698.4677734375,11240.6865234375,11392.6357421875,26163972642,26164018529.15332,8721339509.717773
2020-10-13,11425.8994140625,11548.984375,11321.224609375,11548.7197265625,24241420251,24241466095.828125,8080488698.609375
2020-10-14,11429.5068359375,11539.9775390625,11307.8310546875,11429.0478515625,24103426719,24103472425.36328,8034490808.454427
2020-10-15,11495.349609375,11569.9140625,11303.603515625,11426.6025390625,24487233058,24487278853.469727,8162426284.489909
2020-10-16,11322.123046875,11540.0615234375,11223.0126953125,11502.828125,25635480772,25635526360.02539,8545175453.341797
2020-10-17,11358.1015625,11386.26171875,11285.345703125,11322.123046875,19130430174,19130475525.83203,6376825175.277344
2020-10-18,11483.359375,11483.359375,11347.578125,11355.982421875,18283314340,18283360010.279297,6094453336.759766
2020-10-19,11742.037109375,11799.0927734375,11408.2900390625,11495.0380859375,23860769928,23860816372.458008,7953605457.486003
2020-10-20,11916.3349609375,11999.91796875,11681.48046875,11745.974609375,30915821592,30915868935.708008,10305289645.236002
2020-10-21,12823.689453125,13184.56640625,11900.9287109375,11913.0771484375,43414712626,43414762448.26172,14471587482.753906
2020-10-22,12965.8916015625,13161.59375,12717.09375,12801.6357421875,34729759598,34729811244.21484,11576603748.071615
2020-10-23,12931.5390625,13015.9619140625,12752.6474609375,12971.548828125,28974975003,28975026674.697266,9658342224.899088
2020-10-24,13108.0625,13145.06640625,12885.7470703125,12931.57421875,24542317940,24542370010.450195,8180790003.483398
2020-10-25,13031.173828125,13329.18359375,12910.0615234375,13108.0634765625,24406920575,24406972953.48242,8135657651.160808
2020-10-26,13075.248046875,13225.2978515625,12822.3828125,13031.201171875,29461458313,29461510467.129883,9820503489.043295
2020-10-27,13654.21875,13759.6689453125,13060.837890625,13075.2421875,33749878156,33749931705.967773,11249977235.322592
2020-10-28,13271.28515625,13837.6953125,12932.2509765625,13654.21484375,35867318895,35867372590.44629,11955790863.482096
2020-10-29,13437.8828125,13612.0478515625,12980.0595703125,13271.298828125,56499499598,56499552899.28906,18833184299.76302
2020-10-30,13546.5224609375,13651.5166015625,13136.1982421875,13437.8740234375,30581485201,30581538973.11133,10193846324.370443
2020-10-31,13780.9951171875,14028.2138671875,13457.5302734375,13546.5322265625,30306464719,30306519532.271484,10102173177.423828
2020-11-01,13737.109375,13862.033203125,13628.3779296875,13780.9951171875,24453857900,24453912908.515625,8151304302.838542
2020-11-02,13550.4892578125,13808.3232421875,13243.16015625,13737.0322265625,30771455468,30771509807.004883,10257169935.668295
2020-11-03,13950.30078125,13984.9814453125,13325.44140625,13550.451171875,29869951617,29870006428.174805,9956668809.391602
2020-11-04,14133.70703125,14218.7666015625,13580.4716796875,13950.48828125,35116364962,35116420845.43359,11705473615.144531
2020-11-05,15579.8486328125,15706.404296875,14102.0888671875,14133.7333984375,40856321439,40856380961.075195,13618793653.691732
2020-11-06,15565.880859375,15903.4375,15226.83984375,15579.7294921875,39837841971,39837904246.887695,13279301415.629232
2020-11-07,14833.75390625,15737.095703125,14423.203125,15565.880859375,35024953706,35025014265.93359,11675004755.311197
2020-11-08,15479.5673828125,15637.3203125,14744.1103515625,14833.75390625,26632075029,26632135723.751953,8877378574.583984
2020-11-09,15332.3154296875,15785.13671875,14865.529296875,15479.595703125,34149115566,34149177028.57715,11383059009.525717
2020-11-10,15290.90234375,15450.3291015625,15124.9599609375,15332.3505859375,25574938143,25574999341.541992,8524999780.513997
2020-11-11,15701.33984375,15916.2607421875,15290.0068359375,15290.9091796875,29772374934,29772437132.5166,9924145710.838867
2020-11-12,16276.34375,16305.00390625,15534.771484375,15701.298828125,34175758344,34175822161.41797,11391940720.472656
2020-11-13,16317.80859375,16463.177734375,15992.15234375,16276.4404296875,31599492172,31599557221.5791,10533185740.526367
2020-11-14,16068.138671875,16317.80859375,15749.193359375,16317.80859375,27481710135,27481774587.94922,9160591529.316406
2020-11-15,15955.587890625,16123.1103515625,15793.5341796875,16068.1396484375,23653867583,23653931523.37207,7884643841.124023
2020-11-16,16716.111328125,16816.181640625,15880.7060546875,15955.5771484375,31526766675,31526832043.57617,10508944014.52539
2020-11-17,17645.40625,17782.919921875,16564.544921875,16685.69140625,39006849170,39006917848.5625,13002305949.520834
